Nome do Produto,Volume,Categoria,Venda em (un/pct),Estoque Atual,Fornecedor,Preço de Custo,Preço de Venda Atual (un.),Margem de Lucro (un.),Preço de Venda Atual (pct),Margem de Lucro (pct),Giro (Vende Rápido/Devagar)
ROCK'S Watermelon ,1L,Gin,unidade,3un,,,"R$ 33,00",,,,
ROCK'S Strawberry ,1L,Gin,unidade,4un,,,"R$ 33,00",,,,
Tanqueray,750ml,Gin,unidade,6un,,,"R$ 110,00",,-,,
Tanqueray Royale,750ml,Gin,unidade,1un,,,"R$ 115,00",,,,
Amarula,750ml,Licor,unidade,2un,,,"R$ 115,00",,-,,
Ballena Chocolate e Caramelo,750ml,Licor,unidade,5un,,,"R$ 140,00",,-,,
Ballena ,Indisponivel,Indisponível,unidade,,,,"R$ 140,00",,,,
Licor 43*,750ml,Licor,unidade,8un,,,"R$ 145,00",,-,,
Licor 43 Chocolate,750ml,Licor,unidade,1un,,,"R$ 165,00",,,,
Licor de Cacau Fino Dubar,900ml,Licor,unidade,1un,,,"R$ 19,00",,-,,
Licor de Cacau Totus,900ml,Licor,unidade,19un,,"R$ 20,00","R$ 23,00","15,00%",-,,
Licor de Cacau Dubar,965ml,Licor,unidade,1un,,,"R$ 30,00",,-,,
Malibu,750ml,Licor,unidade,43un,,,"R$ 55,00",,-,,
Pippermint*,900ml,Licor,unidade,6un,,,"R$ 23,00",,-,,
Stock Curaçau Blue*,750ml,Licor,unidade,1un,,,"R$ 55,00",,-,,
Coca Cola,"1,5L",Indisponível,unidade,,Coca Cola,,"R$ 15,00",,-,,
Coca Cola,2L,Refrigerante,unidade,59un,Coca Cola,,"R$ 13,00",,"R$ 65,00",,
Coca Cola SEM AÇÚCAR ,2L,Refrigerante,unidade,16un,Coca Cola,,"R$ 14,00",,,,
Coca Cola SEM AÇÚCAR ,"2,5L",Refrigerante,unidade,52un,Coca Cola,,"R$ 10,00",,-,,
Coca Cola,600ml,Indisponível,unidade,,Coca Cola,,"R$ 7,00",,-,,
Coca Cola,350ml,Refrigerante,"unidade, pacote (12un.)",8pc + 4un,Coca Cola,,"R$ 5,00",,"R$ 43,00",,
Coca Cola SEM AÇÚCAR ,350ml,Refrigerante,unidade,30un,Coca Cola,,"R$ 5,00",,,,
Coca Cola,250ml,Indisponível,"unidade, pacote (12un.)",,Coca Cola,,"R$ 2,50",,-,,
Jose Cuervo,Indisponivel,Indisponível,unidade,3un,,,"R$ 105,00",,-,,
Tequiloka,Indisponivel,Indisponível,unidade,,,,"R$ 25,00",,-,,
Cantinho do Vale,2L,Vinho,unidade,62un,Comercial de bebidas grande mix,,"R$ 12,00",,-,,
Cantinho do Vale*,900ml,Vinho,unidade,71un,Comercial de bebidas grande mix,,"R$ 6,00",,-,,
Don Nogueira Suave,900ml,Vinho,unidade,105un,,,"R$ 14,00",,-,,
Don Nogueira Seco,900ml,Vinho,unidade,9un,,,"R$ 14,00",,,,
Draft,600ml,Vinho,unidade,36un,,,"R$ 13,00",,-,,
Jurupinga*,965ml,Vinho,unidade,13un,,,"R$ 32,00",,-,,
Natal Seco,1L,Vinho,unidade,10un,Alberto Belesso,,"R$ 20,00",,-,,
Natal Suave,1L,Vinho,unidade,84un,Alberto Belesso,,"R$ 20,00",,,,
Pérgola Suave,1L,Vinho,unidade,97un,,,"R$ 27,00",,, ,
Pérgola Seco,1L,Vinho,unidade,13un,,,"R$ 27,00",,-,,
Santomé Suave,1L,Vinho,unidade,59un,Alberto Belesso,,"R$ 20,00",,-,,
Santomé Seco,1L,Vinho,unidade,7un,Alberto Belesso,,"R$ 20,00",,,,
Absolut Vodka,1L,Vodka,unidade,3un,,,"R$ 100,00",,-,,
Askov Pura,900ml,Vodka,unidade,41un,,,"R$ 16,00",,-,,
Askov Limão ,900ml,Vodka,unidade,11un,,,"R$ 16,00",,,,
