"Lines","FullName"
"311","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\expenses\components\ExpensesTab.tsx"
"310","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\hooks\useCustomerDelete.ts"
"309","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\types\generic.types.ts"
"308","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\__tests__\use-pagination.test.ts"
"308","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\dashboard\components\DashboardPresentation.tsx"
"308","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\types\inventory.types.ts"
"307","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\delivery\components\NotificationCenter.tsx"
"303","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\DataQualityDashboard.tsx"
"303","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\components\form-loading.tsx"
"300","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\expenses\components\ExpenseFiltersModal.tsx"
"299","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\utils\completeness-calculator.ts"
"298","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\error-handling\GlobalErrorHandler.tsx"
"296","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\expenses\hooks\useExpenses.ts"
"295","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\suppliers\hooks\useSuppliers.ts"
"294","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\suppliers\components\SupplierForm.tsx"
"292","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\CustomerProfile.tsx"
"291","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\delivery\components\Delivery.tsx"
"287","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\app\layout\Sidebar.tsx"
"286","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\common\useFormProtection.ts"
"285","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\dashboard\hooks\useDashboardData.ts"
"285","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\business\useCustomerAnalytics.ts"
"283","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\delivery\components\DeliveryTimeline.tsx"
"276","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\dashboard\components\LowStockAlertCard.tsx"
"272","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\components\error-message.tsx"
"271","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\movements\hooks\useMovements.ts"
"271","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\expenses\hooks\useExpenseBudgets.ts"
"271","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\ui\layout\sidebar.tsx"
"269","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\config\routes-config.ts"
"268","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\components\InventoryErrorStates.tsx"
"267","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\utils\phone.ts"
"266","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\suppliers\components\SuppliersManagement.tsx"
"264","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\delivery\hooks\useNotifications.ts"
"263","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\suppliers\components\SupplierCard.tsx"
"262","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\hooks\useInventoryOperations.ts"
"262","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\customers\components\Customers.tsx"
"260","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\CsvPreviewTable.tsx"
"258","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\hooks\useInventoryMovements.ts"
"258","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\shared\hooks\business\useCustomerMetrics.ts"
"257","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\product-form\BarcodeHierarchySection.tsx"
"257","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\dashboard\components\DeliveryVsInstoreComparison.tsx"
"257","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\users\components\UserForm.tsx"
"256","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\components\ProductsGridPresentation.tsx"
"255","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\core\types\enums.types.ts"
"251","D:\1. LUCCAS\aplicativos ai\adega\solid-foundation-adega-manager\src\features\inventory\hooks\useBarcodeHierarchy.ts"
